"","Strike","Bid","Ask","Price","InTheMoney"
"1",10,8.05,8.35,8.2,TRUE
"2",10.5,7.55,7.85,7.7,TRUE
"3",11,7.05,7.35,7.2,TRUE
"4",11.5,6.55,6.85,6.7,TRUE
"5",12,6.05,6.35,6.2,TRUE
"6",12.5,5.55,5.85,5.7,TRUE
"7",13,5.05,5.35,5.2,TRUE
"8",13.5,4.55,4.85,4.7,TRUE
"9",14,4.05,4.35,4.2,TRUE
"10",14.5,3.55,3.85,3.7,TRUE
"11",15,3.1,3.35,3.225,TRUE
"12",16,2.1,2.33,2.215,TRUE
"13",17,1.18,1.37,1.275,TRUE
"14",18,0.58,0.71,0.645,FALSE
"15",19,0.27,0.38,0.325,FALSE
"16",20,0.14,0.24,0.19,FALSE
"17",21,0.08,0.16,0.12,FALSE
"18",22,0.05,0.12,0.085,FALSE
"19",23,0.03,0.09,0.06,FALSE
"20",24,0.02,0.08,0.05,FALSE
"21",25,0.01,0.06,0.035,FALSE
"22",26,0,0.06,0.03,FALSE
"23",27,0,0.05,0.025,FALSE
"24",28,0.01,0.05,0.03,FALSE
"25",29,0,0.04,0.02,FALSE
"26",30,0.01,0.04,0.025,FALSE
"27",31,0,0.03,0.015,FALSE
"28",32,0,0.03,0.015,FALSE
"29",32.5,0,0.03,0.015,FALSE
"30",33,0,0.03,0.015,FALSE
"31",34,0,0.03,0.015,FALSE
"32",35,0,0.03,0.015,FALSE
"33",36,0,0.03,0.015,FALSE
"34",37,0,0.02,0.01,FALSE
"35",37.5,0,0.02,0.01,FALSE
"36",38,0,0.02,0.01,FALSE
"37",39,0,0.02,0.01,FALSE
"38",40,0,0.02,0.01,FALSE
"39",42.5,0,0.03,0.015,FALSE
"40",45,0,0.03,0.015,FALSE
"41",47.5,0,0.03,0.015,FALSE
"42",50,0,0.03,0.015,FALSE
"43",55,0,0.03,0.015,FALSE
"44",60,0,0.02,0.01,FALSE
"45",65,0,0.02,0.01,FALSE
"46",70,0,0.02,0.01,FALSE
"47",75,0,0.02,0.01,FALSE
"48",80,0,0.02,0.01,FALSE
"49",85,0,0.02,0.01,FALSE
"50",90,0,0.02,0.01,FALSE
"51",95,0,0.02,0.01,FALSE
"52",100,0,0.02,0.01,FALSE
"53",110,0,0.02,0.01,FALSE
"54",120,0,0.02,0.01,FALSE
"55",130,0,0.02,0.01,FALSE
"56",140,0,0.02,0.01,FALSE
"57",150,0,0.02,0.01,FALSE
"58",160,0,0.02,0.01,FALSE
"59",170,0,0.02,0.01,FALSE
"60",180,0,0.02,0.01,FALSE
