"","Strike","Bid","Ask","Price","InTheMoney"
"1",10,0,0,0,FALSE
"2",12,0,0.09,0.045,FALSE
"3",14,0.05,0.17,0.11,FALSE
"4",15,0.14,0.28,0.21,FALSE
"5",16,0.3,0.46,0.38,FALSE
"6",17,0.55,0.73,0.64,FALSE
"7",18,0.88,1.09,0.985,TRUE
"8",19,1.13,1.53,1.33,TRUE
"9",20,1.62,2.03,1.825,TRUE
"10",21,2.16,2.59,2.375,TRUE
"11",22,2.75,3.2,2.975,TRUE
"12",23,3.35,3.85,3.6,TRUE
"13",24,4,4.55,4.275,TRUE
"14",25,4.7,5.25,4.975,TRUE
"15",26,5.4,5.95,5.675,TRUE
"16",28,6.45,7.45,6.95,TRUE
"17",29,7.15,8.25,7.7,TRUE
"18",30,7.95,9.2,8.575,TRUE
"19",31,8.7,9.85,9.275,TRUE
"20",150,120.35,124.25,122.3,TRUE
